WAVELENGTH FLUX ERROR DQ
1616.0986413987234 8.428827297582431e-13 8.123283404444515e-13 0
1616.1250701509482 1.0109066361785324e-12 9.816522594796595e-13 0
1616.151498734006 -6.453158862308739e-13 9.382430813179021e-13 0
1616.1779271478995 -3.1056949546803825e-13 8.280171795611857e-13 0
1616.2043553926324 9.637027504130757e-13 8.952199875497668e-13 0
1616.2307834682076 1.8984106821273716e-12 1.2230569204976782e-12 0
1616.257211374629 1.9276158360476137e-12 9.228811291561723e-13 0
1616.283639111899 1.3053285665906578e-12 9.147403971440649e-13 0
1616.3100666800212 8.889347591356511e-13 7.380559921901786e-13 0
1616.336494078999 7.895538606597641e-13 6.931834663562175e-13 0
1616.3629213088357 4.534549547918071e-14 6.338625913211715e-13 0
1616.3893483695342 -7.764545706693757e-14 8.270246466823838e-13 0
1616.415775261098 -2.4624481056653713e-13 7.186586395424577e-13 0
1616.4422019835301 -1.6044828768553565e-13 7.099740175105229e-13 0
1616.468628536834 9.167755530420374e-13 7.406986265653948e-13 0
1616.495054921013 1.8803619685620054e-12 8.621145789443341e-13 0
1616.52148113607 -2.445460012875239e-13 8.072314518214885e-13 0
1616.5479071820087 1.2202928554791437e-12 7.711934931799169e-13 0
1616.574333058832 1.552866044302395e-13 7.976484056593236e-13 0
1616.6007587665433 1.1062513752269076e-12 7.310074312365245e-13 0
1616.6271843051456 1.6975261257420882e-12 8.325857906756051e-13 0
1616.6536096746427 5.793462091356963e-14 8.800789957907895e-13 0
1616.680034875037 1.7947740461789902e-13 7.20787470508133e-13 0
1616.7064599063326 1.2412824674373768e-12 7.132759552268275e-13 0
1616.7328847685326 -7.297699770869581e-14 7.401996767256169e-13 0
1616.7593094616395 8.401065216753767e-13 9.353768844547194e-13 0
1616.7857339856573 1.0628339571286394e-12 7.698438241054983e-13 0
1616.812158340589 3.722448510459081e-13 7.231695711013009e-13 0
1616.8385825264381 6.424935995556769e-13 7.721800629467701e-13 0
1616.8650065432075 6.877697196483457e-13 7.898654061540278e-13 0
1616.8914303909003 7.223073593236318e-13 6.420103164372915e-13 0
1616.9178540695202 5.10527004785738e-13 6.740655668184548e-13 0
1616.9442775790703 1.3791562293238857e-12 7.504193664034653e-13 0
1616.9707009195538 8.209777801158891e-13 7.456424258416028e-13 0
1616.9971240909738 1.231824565310971e-13 7.237620333784556e-13 0
1617.023547093334 8.660010642619342e-13 7.124233928484935e-13 0
1617.049969926637 3.4388960320867745e-13 5.974967699426403e-13 0
1617.0763925908864 -1.1073379626441726e-12 7.200698913002734e-13 0
1617.1028150860855 6.691805312999954e-13 7.00638277863902e-13 0
1617.129237412238 6.723987686085842e-13 6.91360976714378e-13 0
1617.1556595693457 -7.357538244021772e-14 6.97112181348436e-13 0
1617.1820815574133 5.005687704617845e-13 7.320449585054845e-13 0
1617.2085033764433 -1.2371518740006415e-12 6.182661804396417e-13 0
1617.2349250264392 1.3163518669187524e-12 7.823719428388942e-13 0
1617.2613465074041 1.940150514204153e-12 9.018971550492361e-13 0
1617.2877678193418 -4.1060349022757625e-13 6.931333220057401e-13 0
1617.3141889622545 4.0307064326852715e-13 6.329811349549408e-13 0
1617.3406099361462 6.962513248234825e-14 6.574063125472374e-13 0
1617.36703074102 5.716343197403884e-13 7.313499849129212e-13 0
1617.3934513768793 2.1505683518718843e-12 8.115370896989715e-13 0
1617.419871843727 1.2491053113725115e-12 8.752913216274194e-13 0
1617.4462921415663 5.403171078008926e-15 7.482273806612427e-13 0
1617.4727122704007 1.5208384681816844e-12 9.014531200494946e-13 0
1617.4991322302335 6.106772531232207e-13 8.266542832202628e-13 0
1617.5255520210678 -8.120464885371867e-14 7.06030069477781e-13 0
1617.5519716429071 8.051629024966034e-13 7.981452955149737e-13 0
1617.5783910957543 6.375840068580108e-13 7.398324032396875e-13 0
1617.6048103796127 5.590571950687961e-13 7.740122561980534e-13 0
1617.6312294944853 2.431388423929093e-13 7.837692083886849e-13 0
1617.6576484403759 5.236809792232011e-13 6.605607445579753e-13 0
1617.6840672172873 1.4947423724112618e-12 7.789408766438466e-13 0
1617.7104858252233 -3.874493025132937e-14 7.33979988332828e-13 0
1617.7369042641865 1.3998207974708077e-12 8.410154083565713e-13 0
